Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
106	439	0	1.20804902	13.6071043	13.8148599	13.6071043	14.0983985	0.383361555	0.281850754	0	0	0	0	3
107	443	0	1.21944571	13.5771056	13.8030591	13.5771056	14.0983985	0.395162443	0.281850754	0	0	0	0	3
108	447	0	1.2308424	13.6060699	13.7918698	13.5771056	14.0561139	0.40635173	0.281850754	0	0	0	0	3
109	450	0	1.24223909	13.5697938	13.7808201	13.5697938	14.0561139	0.417401394	0.281850754	0	0	0	0	3
110	454	0	1.25363578	13.5918848	13.7702694	13.5697938	14.0034139	0.427952055	0.281850754	0	0	0	0	3
111	457	0	1.26503247	13.5553469	13.7600861	13.5553469	14.0010844	0.438135397	0.281850754	0	0	0	0	3
112	460	0	1.27642915	13.564558	13.7501651	13.5553469	13.9541686	0.39882174	0.281850754	0	0	0	0	3
113	463	0	1.28782584	13.5293603	13.7405103	13.5293603	13.9350783	0.405718035	0.281850754	0	0	0	0	3
114	466	0	1.29922253	13.5650133	13.7320997	13.5293603	13.9162831	0.38692278	0.281850754	0	0	0	0	3
115	470	0	1.31061922	13.5209491	13.7231149	13.5209491	13.9093655	0.388416334	0.281850754	0	0	0	0	3
116	473	0	1.32201591	13.5276074	13.7145724	13.5209491	13.9093655	0.388416334	0.281850754	0	0	0	0	3
117	477	0	1.3334126	13.5233844	13.7058001	13.5209491	13.8822393	0.361290142	0.281850754	0	0	0	0	3
118	481	0	1.34480929	13.5296686	13.6977873	13.5209491	13.8822393	0.361290142	0.281850754	0	0	0	0	3
119	484	0	1.35620598	13.5139787	13.6894177	13.5139787	13.8782768	0.364298124	0.281850754	0	0	0	0	3
120	487	0	1.36760267	13.5067481	13.6810631	13.5067481	13.8782768	0.371528706	0.281850754	0	0	0	0	3
121	490	0	1.37899935	13.5314112	13.673236	13.5067481	13.8782768	0.371528706	0.281850754	0	0	0	0	3
122	493	0	1.39039604	13.5330429	13.6653898	13.5067481	13.8716201	0.364871987	0.281850754	0	0	0	0	3
123	496	0	1.40179273	13.5137694	13.6572568	13.5067481	13.8507853	0.344037158	0.281850754	0	0	0	0	3
124	499	0	1.41318942	13.516696	13.6496639	13.5067481	13.8414299	0.334681779	0.281850754	0	0	0	0	3
125	502	0	1.42458611	13.5143668	13.6422306	13.5067481	13.8341293	0.327381146	0.281850754	0	0	0	0	3
126	505	0	1.4359828	13.5169112	13.6350211	13.5067481	13.821084	0.314335934	0.281850754	0	0	0	0	3
127	508	0	1.44737949	13.5051735	13.6278548	13.5051735	13.821084	0.315910585	0.281850754	0	0	0	0	3
128	511	0	1.45877618	13.5188351	13.6209855	13.5051735	13.8094637	0.304290237	0.281850754	0	0	0	0	3
129	514	0	1.47017287	13.5172882	13.6145599	13.5051735	13.8094637	0.304290237	0.281850754	0	0	0	0	3
130	517	0	1.48156955	13.5013453	13.6075572	13.5013453	13.7870822	0.285736899	0.281850754	0	0	0	0	3
131	521	0	1.49296624	13.4733806	13.6004276	13.4733806	13.774793	0.301412401	0.281850754	0	0	0	0	3
132	524	0	1.50436293	13.491919	13.5939986	13.4733806	13.7532735	0.279892866	0.281850754	0	0	0	0	3
133	527	0	1.51575962	13.4705407	13.5875729	13.4705407	13.7489587	0.278418074	0.281850754	0	0	0	0	3
134	530	0	1.52715631	13.4794622	13.581448	13.4705407	13.7349919	0.264451255	0.281850754	0	0	0	0	3
135	533	0	1.538553	13.4607139	13.5752578	13.4607139	13.7349919	0.274278046	0.281850754	0	0	0	0	3
136	536	0	1.54994969	13.4701766	13.5692392	13.4607139	13.7180238	0.25730994	0.281850754	0	0	0	0	3
137	539	0	1.56134638	13.450978	13.5631732	13.450978	13.7180238	0.267045838	0.281850754	0	0	0	0	3
138	543	0	1.57274307	13.4721137	13.5575844	13.450978	13.7171212	0.266143184	0.281850754	0	0	0	0	3
139	546	0	1.58413975	13.4482059	13.5518194	13.4482059	13.7171212	0.268915311	0.281850754	0	0	0	0	3
140	549	0	1.59553644	13.4551282	13.5458651	13.4482059	13.6934387	0.245232834	0.281850754	0	0	0	0	3
141	552	0	1.60693313	13.4158062	13.5399497	13.4158062	13.6934387	0.277632502	0.281850754	0	0	0	0	3
142	555	0	1.61832982	13.4381855	13.5341485	13.4158062	13.6783459	0.262539693	0.281850754	0	0	0	0	3
143	558	0	1.62972651	13.4147237	13.5283877	13.4147237	13.6783459	0.263622183	0.281850754	0	0	0	0	3
144	561	0	1.6411232	13.4275842	13.5226886	13.4147237	13.6535797	0.238856034	0.281850754	0	0	0	0	3
145	564	0	1.65251989	13.4379586	13.5178043	13.4147237	13.6535797	0.238856034	0.281850754	0	0	0	0	3
146	567	0	1.66391658	13.4298519	13.5127196	13.4147237	13.6339773	0.219253637	0.281850754	0	0	0	0	3
147	570	0	1.67531327	13.4329977	13.508423	13.4147237	13.6339773	0.219253637	0.281850754	0	0	0	0	3
148	574	0	1.68670995	13.4471358	13.5041766	13.4147237	13.6094935	0.194769838	0.281850754	0	0	0	0	3
149	577	0	1.69810664	13.4235311	13.4999501	13.4147237	13.6071043	0.192380589	0.281850754	0	0	0	0	3
150	580	0	1.70950333	13.4334894	13.4960043	13.4147237	13.6060699	0.191346234	0.281850754	0	0	0	0	3
151	583	0	1.72090002	13.4175893	13.492379	13.4147237	13.6060699	0.191346234	0.281850754	0	0	0	0	3
152	586	0	1.73229671	13.4427674	13.4886676	13.4147237	13.5918848	0.177161079	0.281850754	0	0	0	0	3
153	589	0	1.7436934	13.418258	13.4852236	13.4147237	13.5918848	0.177161079	0.281850754	0	0	0	0	3
