Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
93	401	0	1.05989207	101327.289	101327.267	101327.218	101327.292	0.0734830515	0.110923805	0	0	0	0	3
94	404	0	1.07128875	101327.286	101327.269	101327.218	101327.292	0.0734830515	0.110923805	0	0	0	0	3
95	407	0	1.08268544	101327.287	101327.27	101327.219	101327.292	0.0732800313	0.110923805	0	0	0	0	3
96	410	0	1.09408213	101327.285	101327.272	101327.219	101327.292	0.0732800313	0.110923805	0	0	0	0	3
97	413	0	1.10547882	101327.284	101327.273	101327.222	101327.292	0.0697661039	0.110923805	0	0	0	0	3
98	414	0	1.11687551	101327.285	101327.275	101327.224	101327.292	0.0683399104	0.110923805	0	0	0	0	3
99	417	0	1.1282722	101327.285	101327.276	101327.228	101327.292	0.0641514087	0.110923805	0	0	0	0	3
100	419	0	1.13966889	101327.286	101327.277	101327.23	101327.292	0.0618042048	0.110923805	0	0	0	0	3
101	422	0	1.15106558	101327.287	101327.279	101327.236	101327.292	0.0560144723	0.110923805	0	0	0	0	3
102	424	0	1.16246227	101327.293	101327.28	101327.24	101327.293	0.0526243925	0.110923805	0	0	0	0	3
103	430	0	1.17385895	101327.293	101327.281	101327.248	101327.293	0.0446048732	0.110923805	0	0	0	0	3
104	432	0	1.18525564	101327.295	101327.282	101327.249	101327.295	0.0457324276	0.110923805	0	0	0	0	3
105	436	0	1.19665233	101327.298	101327.283	101327.251	101327.298	0.0471620236	0.110923805	0	0	0	0	3
106	439	0	1.20804902	101327.297	101327.284	101327.256	101327.298	0.0421899076	0.110923805	0	0	0	0	3
107	443	0	1.21944571	101327.298	101327.285	101327.259	101327.298	0.0385429813	0.110923805	0	0	0	0	3
108	447	0	1.2308424	101327.302	101327.286	101327.264	101327.302	0.038787031	0.110923805	0	0	0	0	3
109	450	0	1.24223909	101327.302	101327.287	101327.265	101327.302	0.0374343087	0.110923805	0	0	0	0	3
110	454	0	1.25363578	101327.303	101327.288	101327.267	101327.303	0.0350507233	0.110923805	0	0	0	0	3
111	457	0	1.26503247	101327.301	101327.289	101327.267	101327.303	0.0350507233	0.110923805	0	0	0	0	3
112	460	0	1.27642915	101327.302	101327.289	101327.275	101327.303	0.0275646663	0.110923805	0	0	0	0	3
113	463	0	1.28782584	101327.302	101327.29	101327.281	101327.303	0.0217867157	0.110923805	0	0	0	0	3
